kind,ocr_number,note
duplicate,16,this OCR number appears on >1 distinct hymn; positional numbering in hymns_1780_by_number.jsonl is authoritative
duplicate,46,this OCR number appears on >1 distinct hymn; positional numbering in hymns_1780_by_number.jsonl is authoritative
gap,21,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,38,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,39,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,52,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,66,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,84,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,90,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,97,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,107,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,111,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,119,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,120,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,133,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,143,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,149,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,161,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,162,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,169,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,213,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,228,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,241,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,253,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,257,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,263,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,272,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,274,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,275,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,276,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,297,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,352,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,360,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,490,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,500,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,574,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,577,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,597,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,607,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,617,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,654,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,673,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,718,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,762,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
gap,767,"no 'HYMN N.' header recovered for this number; likely an OCR miss, not a real gap in the printed hymnal"
