source_id,edition,scan_provenance,covers_from,covers_to,passages,words,verdict,duplicate_of,notes
jw-journal-vol1-3,"Emory 3rd American complete and standard ed. (New York: Eaton & Mains), vols I-III",unstated in file; American reprint,1728-02-01,1758-06-16,1253,419195,KEEP-SPINE,,"Canonical spine for 1728-1758. Ends ""END OF VOLUME III"". Contains the Georgia journal (Feb 1735-Dec 1737) as an embedded extract."
jw-journal-1760-to-1773,"London 3rd ed. (Jackson recension), vol III",unstated in file,1760-05-06,1773-09-12,573,220459,KEEP-SPINE,,"Canonical spine for 1760-1773. Ends ""END OF THE THIRD VOLUME"". Five printed extracts, each with its own FROM/TO header."
jw-journal-1773-to-1776,"London 3rd ed. (Jackson recension), vol IV",Google scan of a Michigan State University copy,1773-09-13,1790-10-24,581,224989,KEEP-SPINE,,"Canonical spine for 1773-1790. FILENAME IS MISLEADING: covers to 1790, not 1776. Five extracts (NUMBER XVII-XXI). Better OCR than jw-journal-vol4-7 (non-word rate 0.010 vs 0.029)."
jw-journal-vol4-7,"London 3rd ed. (Jackson recension), vol IV",Google scan of a different copy (Mason F.89 / 6184),1773-09-13,1790-10-24,546,212903,DUPLICATE-CLOSE,jw-journal-1773-to-1776,"SAME VOLUME, SAME EDITION, SECOND SCAN. Both open ""NUMBER XVII / VOL. IV"" at Sept 13 1773 with identical wording and both close with the identical Brigstock Deed of Declaration and ""END OF THE FOURTH VOLUME"". Word-joining OCR damage is markedly worse here (""Iwas muchworse,mypalate"" vs ""I was much worse, my palate""; ""myselfable"" vs ""myself able""). Recommend closing this one and keeping jw-journal-1773-to-1776."
jw-journal-vol4-part09-section01,"Curnock, Standard Edition (1909-16), Ninth Part sec. 1",editorial apparatus present inline,1751-11-02,1754-10-28,,,DUPLICATE-COVERAGE,jw-journal-vol1-3,"Different edition covering a span the Emory spine already carries (its own header ""From November 2, 1751, to October 28, 1754"" matches a vol1-3 extract header exactly). Opens with a Sermon Register introduction, not journal text."
jw-journal-vol4-part09-section02,"Curnock, Standard Edition (1909-16), Ninth Part sec. 2",editorial apparatus present inline,1752-01-01,1754-12-31,,,DUPLICATE-COVERAGE,jw-journal-vol1-3,"Continuation of the Ninth Part; same span as above."
jw-journal-vol4-part10-section01,"Curnock, Standard Edition (1909-16), Tenth Part sec. 1",editorial apparatus present inline,1755-02-16,1758-06-16,,,DUPLICATE-COVERAGE,jw-journal-vol1-3,"Header ""FROM FEBRUARY 16, 1755, TO JUNE 16, 1758"" matches a vol1-3 extract header exactly."
jw-journal-vol4-part10-section02,"Curnock, Standard Edition (1909-16), Tenth Part sec. 2",editorial apparatus present inline,1756-09-01,1758-06-16,,,DUPLICATE-COVERAGE,jw-journal-vol1-3,"Continuation of the Tenth Part."
jw-journal-vol4-part11-section01,"Curnock, Standard Edition (1909-16), Eleventh Part sec. 1",editorial apparatus present inline,1758-06-17,1760-05-05,,,KEEP-UNIQUE,,"FILLS THE ONLY GAP IN THE JOURNAL. The Emory spine ends 1758-06-16 and the London vol III spine begins 1760-05-06; this part covers exactly 1758-06-17 to 1760-05-05. Without it the corpus has a 23-month hole. Header: ""THE JOURNAL FROM JUNE 17, 1758, TO MAY 5, 1760""."
jw-journal-vol4-part11-section02,"Curnock, Standard Edition (1909-16), Eleventh Part sec. 2",editorial apparatus present inline,1759-07-01,1760-05-05,,,KEEP-UNIQUE,,"Continuation of the Eleventh Part; same unique gap span."
jw-journal-vol4-part12-section01,"Curnock, Standard Edition (1909-16), Twelfth Part sec. 1",editorial apparatus present inline,1760-05-06,1762-10-28,,,DUPLICATE-COVERAGE,jw-journal-1760-to-1773,"Header ""THE JOURNAL FROM MAY 6, 1760, TO OCTOBER 28, 1762"" matches a 1760-to-1773 extract header exactly; the May 6 1760 Carrickfergus/Cavenac entry is verbatim the same text in both."
jw-journal-vol4-part12-section02,"Curnock, Standard Edition (1909-16), Twelfth Part sec. 2",editorial apparatus present inline,1761-01-01,1761-12-31,,,DUPLICATE-COVERAGE,jw-journal-1760-to-1773,"Continuation of the Twelfth Part. Opens with a London Chronicle letter, not journal text."
jw-journal-vol4-part12-section03,"Curnock, Standard Edition (1909-16), Twelfth Part sec. 3",editorial apparatus present inline,1761-10-01,1762-12-31,,,DUPLICATE-COVERAGE,jw-journal-1760-to-1773,"Continuation of the Twelfth Part."
jw-journal-vol4-part12-section04,"Curnock, Standard Edition (1909-16), Twelfth Part sec. 4",editorial apparatus present inline,1762-07-01,1762-10-28,,,DUPLICATE-COVERAGE,jw-journal-1760-to-1773,"Continuation of the Twelfth Part."
jw-journal-vol4-part13,"Curnock, Standard Edition (1909-16), Thirteenth Part",editorial apparatus present inline,1762-10-29,1765-05-25,,,DUPLICATE-COVERAGE,jw-journal-1760-to-1773,"Header ""THE JOURNAL FROM OCTOBER 29, 1762, TO MAY 45 [=25], 1765"" matches a 1760-to-1773 extract header exactly."
