source_id,author,title,source_type,passages,words,non_word_rate,header_passages,top_offenders
jw-letter-1751-13-to-the-rector-and-fellows-of-lincoln-college,john-wesley,13 To The Rector And Fellows Of Lincoln College,letter,1,101,0.3663,0,ac:2; Collegii:1; Lincolniensis:1; Academia:1; Oxoniensi:1; Sodus:1; quicquid:1; mihi:1; juris:1; est:1; praedicta:1; Societate:1; ejusdem:1; Rectori:1; Sociis:1; sponte:1; libere:1; resigno:1; Ills:1; universis:1
jw-letter-1777-33-to-mr-bredin-at-mr-john-fitzhenrys,john-wesley,33 To Mr Bredin At Mr John Fitzhenrys,letter,1,12,0.25,0,Fitzhenry's:1; Bollimore:1; Goree:1
jw-letter-1789a-06-to-mrs-tighe-at-woodstock,john-wesley,A 06 To Mrs Tighe At Woodstock,letter,1,8,0.25,0,Woodstock:1; Innistoyne:1
jw-letter-1736-02-to-count-zinzendorf,john-wesley,02 To Count Zinzendorf,letter,1,344,0.2326,0,meis:2; tuis:2; Blut:2; Graviora:1; negotia:1; literis:1; interpellare:1; auderem:1; nisi:1; crederem:1; illius:1; esse:1; discipulum:1; ardens:1; extingui:1; vult:1; neque:1; calamum:1; quassatum:1; confringi:1
jw-letter-1779-26-to-mr-carlill-at-mr-morriss,john-wesley,26 To Mr Carlill At Mr Morriss,letter,1,9,0.2222,0,Morris's:1; Withey:1
jw-letter-1786a-06-to-mr-sam-mitchell-of-maguiresbridge,john-wesley,A 06 To Mr Sam Mitchell Of Maguiresbridge,letter,1,9,0.2222,0,Maguiresbridge:1; Lisnaskea:1
jw-letter-1781a-26-to-mr-bredin-at-mr-danl-keelings,john-wesley,A 26 To Mr Bredin At Mr Danl Keelings,letter,1,10,0.2,0,Danl:1; Keeling's:1
jw-letter-1784a-06-to-the-rev-walter-sellon-at-ledsham,john-wesley,A 06 To The Rev Walter Sellon At Ledsham,letter,1,10,0.2,0,Ledsham:1; Ferrybridge:1
jw-letter-1786b-06-to-mr-torry,john-wesley,B 06 To Mr Torry,letter,1,233,0.1502,0,Torry:1; staying:1; Shorley:1; Wo'thering:1; Remswell:1; Paterington:1; Gilberdike:1; Laxton:1; Esterington:1; Newbold:1; Theton:1; Skitby:1; Cottingham:1; Newland:1; Hasel:1; Grimston:1; Acklam:1; Bugthorp:1; Fankioss:1; Assalby:1
jw-letter-1787-07-to-mr-arthur-keene,john-wesley,07 To Mr Arthur Keene,letter,1,7,0.1429,0,Ranelagh:1
jw-letter-1778-54-to-mr-john-tooelm-at-mr-treffs,john-wesley,54 To Mr John Tooelm At Mr Treffs,letter,1,15,0.1333,0,Tooelm:1; Treffs:1
jw-letter-1781b-33-to-mr-fisher-at-187-opposite,john-wesley,B 33 To Mr Fisher At 187 Opposite,letter,1,8,0.125,0,Campbell's:1
jw-letter-1784b-28-to-miss-chapman-at-wailington,john-wesley,B 28 To Miss Chapman At Wailington,letter,1,8,0.125,0,Wailington:1
jw-letter-1785b-31-to-mrs-fletcher-at-madeley,john-wesley,B 31 To Mrs Fletcher At Madeley,letter,1,8,0.125,0,Skifinal:1
jw-letter-1787-17-to-miss-padbury-at-witflebury,john-wesley,17 To Miss Padbury At Witflebury,letter,1,8,0.125,0,Witflebury:1
jw-primitive-physick,john-wesley,"Primitive Physick (14th ed., 1770)",treatise,102,26063,0.114,0,cures:63; cured:62; ofthe:48; powder'd:46; dipt:30; fhould:29; fpoonful:27; bruifed:25; fails:23; fome:22; alfo:21; feldom:19; changing:19; fafting:18; fmall:16; ofWater:16; poffible:14; ftrong:14; fuch:13; boil'd:13
cw-002-zeal,charles-wesley,002 Zeal,hymn,1,396,0.1111,0,fires:2; sheds:2; Untouch'd:1; exults:1; aspires:1; embraces:1; breasts:1; learns:1; darted:1; chearing:1; diffus'd:1; returns:1; enthusiast's:1; skreen:1; draws:1; fanatick's:1; schemes:1; holds:1; retires:1; assists:1
jw-letter-1778-36-to-mr-sam-tooth-carpr-worship,john-wesley,36 To Mr Sam Tooth Carpr Worship,letter,1,9,0.1111,0,Carpr:1
jw-letter-1780a-04-to-mr-carlill-at-mrs-cumberlands,john-wesley,A 04 To Mr Carlill At Mrs Cumberlands,letter,1,9,0.1111,0,Cumberland's:1
jw-letter-1780a-15-to-mrs-crosby-at,john-wesley,A 15 To Mrs Crosby At,letter,1,9,0.1111,0,Haigh's:1
jw-letter-1781a-41-to-mr-brettell-at-mr-walters,john-wesley,A 41 To Mr Brettell At Mr Walters,letter,1,9,0.1111,0,Walter's:1
jw-letter-1782a-49-to-miss-patty-chapman-at-warledon,john-wesley,A 49 To Miss Patty Chapman At Warledon,letter,1,9,0.1111,0,Warledon:1
jw-letter-1783b-28-to-capt-richa-williams-in-poldice,john-wesley,B 28 To Capt Richa Williams In Poldice,letter,1,9,0.1111,0,Richa:1
jw-letter-1783b-39-to-capt-riehl-williams-at-poldice,john-wesley,B 39 To Capt Riehl Williams At Poldice,letter,1,9,0.1111,0,Riehl:1
jw-letter-1774-81-to-the-authors-of-the-monthly-review,john-wesley,81 To The Authors Of The Monthly Review,letter,1,213,0.1033,0,pounds:3; holders:2; named:2; outlawed:2; severed:2; Authors:1; affirms:1; instruments:1; observed:1; advertisements:1; papers:1; Williamsburg:1; shillings:1; newspapers:1; Yeb:1; Mosely:1
cw-052-grace-after-meat-part-ii,charles-wesley,052 Grace After Meat Part Ii,hymn,1,129,0.1008,0,edn:4; children's:1; wants:1; bounty's:1; chearing:1; imparts:1; veils:1; glads:1; heav'nly:1; Bounty's:1
jw-letter-1756b-12-to-mr-rob-marsden-at-mr-friths,john-wesley,B 12 To Mr Rob Marsden At Mr Friths,letter,1,10,0.1,0,Frith's:1
jw-letter-1773-24-to-mrs-jane-barton-in-hembrough-square,john-wesley,24 To Mrs Jane Barton In Hembrough Square,letter,1,10,0.1,0,Hembrough:1
jw-letter-1777-03-to-mr-wolfe-at-mr-walters,john-wesley,03 To Mr Wolfe At Mr Walters,letter,1,10,0.1,0,Walter's:1
jw-letter-1780a-10-to-mr-abr-brames-at-the-preaching,john-wesley,A 10 To Mr Abr Brames At The Preaching,letter,1,10,0.1,0,Abr:1
jw-letter-1780a-12-to-mr-l-harrison-at-dr-kershaws,john-wesley,A 12 To Mr L Harrison At Dr Kershaws,letter,1,10,0.1,0,Kershaw's:1
jw-letter-1780a-22-to-mr-valton-at-mr-lewtys,john-wesley,A 22 To Mr Valton At Mr Lewtys,letter,1,10,0.1,0,Lewty's:1
jw-letter-1782b-52-to-miss-gretton-at-mr-derrys,john-wesley,B 52 To Miss Gretton At Mr Derrys,letter,1,10,0.1,0,Lincs:1
jw-letter-1785a-36-to-mr-wrigley-at-mr-flamanks,john-wesley,A 36 To Mr Wrigley At Mr Flamanks,letter,1,10,0.1,0,Flamank's:1
jw-letter-1785a-41-to-mr-garrettson-at-mr-philip-marchington,john-wesley,A 41 To Mr Garrettson At Mr Philip Marchington,letter,1,10,0.1,0,Marchington:1
jw-letter-1751-09-to-the-revd-mr-john-wesley-this-line-was-not-in-we,john-wesley,09 To The Revd Mr John Wesley This Line Was Not In We,letter,1,32,0.0938,0,Threadneedle:1; Franked:1; Rushout:1
cw-094-solomons-song-chapter-515-etc-george-sandys,charles-wesley,094 Solomons Song Chapter 515 Etc George Sandys,hymn,1,186,0.0914,0,etc:1; She'd:1; angel's:1; Who's:1; paths:1; roses:1; strews:1; replenish'd:1; ensigns:1; brows:1; exceeds:1; beauty's:1; belov'd:1; yields:1; frosts:1; Legat:1; edn:1
jw-treatise-some-account-of-an-eminent-man,john-wesley,Treatise Some Account Of An Eminent Man,treatise,1,208,0.0913,0,Louvain:2; Verheyen:2; VERHEYEN:1; Medicinae:1; partem:1; materialem:1; caemeterio:1; condi:1; voluit:1; templum:1; dehonestaret:1; aut:1; nocivis:1; halitibus:1; inficeret:1; Requiescat:1; vapours:1
jw-letter-1753-13-to-mr-gillespie-at-mr-seamans,john-wesley,13 To Mr Gillespie At Mr Seamans,letter,1,11,0.0909,0,Seaman's:1
jw-letter-1774-20-to-the-revd-mr-stedman-at-cheverel,john-wesley,20 To The Revd Mr Stedman At Cheverel,letter,1,11,0.0909,0,Cheverel:1
jw-letter-1776-58-to-mr-samuel-bardsley-at,john-wesley,58 To Mr Samuel Bardsley At,letter,1,11,0.0909,0,Whitaker's:1
jw-letter-1779-08-to-mr-samuel-wells-at-mr-gidleys,john-wesley,08 To Mr Samuel Wells At Mr Gidleys,letter,1,11,0.0909,0,Gidley's:1
jw-letter-1783b-16-to-mr-robert-hall-jun-at-mr,john-wesley,B 16 To Mr Robert Hall Jun At Mr,letter,1,11,0.0909,0,Bagshaw's:1
jw-letter-1791-16-to-mr-john-booth-at-the-preaching-house,john-wesley,16 To Mr John Booth At The Preaching House,letter,1,11,0.0909,0,Yorkskire:1
cw-1816-memoir,charles-wesley,Memoir of Charles Wesley (1816),treatise,16,5377,0.0898,0,became:6; habits:4; ofthe:4; began:4; labours:4; duties:3; honours:3; ob:3; tained:3; attained:3; remained:3; talents:3; endeavoured:3; visited:3; placed:3; brothers:3; settlers:3; neglected:3; descended:2; tors:2
jw-treatise-question-concerning-dew-on-coach-glasses,john-wesley,Treatise Question Concerning Dew On Coach Glasses,treatise,1,194,0.0876,0,vapours:2; condenses:2; vapour:2; observed:1; wiped:1; continues:1; readers:1; remaining:1; condensing:1; degrees:1; partaking:1; letting:1; cools:1; gathers:1
jw-letter-1787-38-to-the-rev-mr-asbury-at-mr-wellss-merchant,john-wesley,38 To The Rev Mr Asbury At Mr Wellss Merchant,letter,1,23,0.087,0,Wells's:1; arrives:1
cw-003-on-reading-monsr-de-rentys-life,charles-wesley,003 On Reading Monsr De Rentys Life,hymn,1,174,0.0862,0,Monsr:1; releas'd:1; bolder:1; raptures:1; precludes:1; walk'd:1; surprize:1; Inur'd:1; seem'd:1; design'd:1; virtues:1; remained:1; mourn'd:1; deny'd:1; ceas'd:1
cw-003-business-alterd-from-george-herbert,charles-wesley,003 Business Alterd From George Herbert,hymn,1,164,0.0854,0,wilds:1; wanderers:1; beasts:1; dens:1; shun'd:1; haunts:1; promis'd:1; provides:1; abides:1; sinn'd:1; loseth:1; meets:1; shadows:1; edn:1
cw-lo-he-comes,charles-wesley,Lo! He Comes with Clouds Descending,hymn,5,260,0.0846,0,wailing:6; attending:2; Robed:2; nailed:2; dazzling:2; ransomed:2; worshipers:2; scars:2; pow'r:2
jw-letter-1786a-07-to-robert-cart-brackenbury,john-wesley,A 07 To Robert Cart Brackenbury,letter,1,142,0.0845,0,labors:2; expected:1; Wills:1; continues:1; hopes:1; bf:1; reigning:1; Helyar's:1; Forwd:1; Hble:1; Servt:1
