garble,fix,count,rule,ambiguous,sample_passage_id,sample_context
fhould,should,29,f->s,,jw-primitive-physick-011,"he medicines here fet down, I fhould advife as foon as you know your d"
fpoonful,spoonful,27,f->s,,jw-primitive-physick-018,"meg and Alum : 15. Or , a Tea fpoonful of Spirits ofHartshorn, in a Gl"
alfo,also,23,f->s,,cw-sermon-iii-001,at which is least is faithful alfo in much : and he that is unjust in 
fome,some,22,f->s,,jw-primitive-physick-003,"d accident ? Thus one walking fome years fince in a grove of pines, at"
feldom,seldom,19,f->s,,jw-primitive-physick-013,"perience fhews, there is very feldom any danger in leaving them off al"
fafting,fasting,18,f->s,,jw-primitive-physick-042,and fup it up in the -Morning fafting. 58. A Pleuritic Cough . Powder 
fmall,small,16,f->s,,jw-primitive-physick-012,"ftomach ; if not, good clear fmall beer. Ufe as much exercile daily, "
ftrong,strong,14,f->s,,jw-primitive-physick-024,"Rub the Head, Feet, and Hands ftrongly, and let two ftrong Men carry t"
fuch,such,13,f->s,,jw-primitive-physick-004, ? How such Medicines wrought fuch effects ? They examined the human b
eafy,easy,12,f->s,,jw-primitive-physick-002,"meaner creatures : For it was eafy to infer, If this"
moft,most,12,f->s,,jw-primitive-physick-007,e quick and effectual cure of moft diseases incident to human bodies :
foon,soon,12,f->s,,jw-primitive-physick-011," fet down, I fhould advife as foon as you know your diftemper, (which "
firft,first,11,f->s,,jw-primitive-physick-001," well as Religion, was in the firft ages chiefly traditional every fat"
likewife,likewise,11,f->s,,jw-primitive-physick-011,imes and in all pla ces : But likewife because the medicine which cure
infufe,infuse,11,f->s,,jw-primitive-physick-030,y willbeat to Powder. Sit and infufe two Drams in two Quarts of Ale ; 
thofe,those,10,f->s,,jw-primitive-physick-002,"at the patient fuffers long ; thofe medicines being quick, as well as "
thefe,these,9,f->s,,jw-primitive-physick-004," , how they might account for thefe things ? How such Medicines wrough"
feveral,several,9,f->s,,jw-primitive-physick-004,els ; with the fprings of the feveral animal functions. They explored 
ufually,usually,9,f->s,,jw-primitive-physick-021, for fix or eight Hours. This ufually cures in three or four Times : I
fpread,spread,8,f->s,,jw-primitive-physick-018," penny worth of Frankincense, fpread it on Linen, grate a Nutmeg upon "
feven,seven,8,f->s,,jw-primitive-physick-022," is boiled : 37. Or, take for feven Mornings, an Infufion of Sena, wit"
phyfic,physic,7,f->s,,jw-primitive-physick-002,"ous nations, usually affign'd phyfic a divine original . And indeed it"
fweat,sweat,7,f->s,,jw-primitive-physick-004,"eap into that river, and then fweat till you are well. Has the fnake b"
juft,just,7,f->s,,jw-primitive-physick-011,"o be had , and then it may do juft as well . ) Secondly, after a compe"
