source_id,author,title,source_type,collection,verdict,edition,known_url,passages,words,in_ingestion_log,note
jw-wesley-collected-works-vol-11,john-wesley,Wesley Collected Works Vol 11,treatise,uncategorized,RED,No collection rule matched,,612,232866,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
jw-wesley-collected-works-vol-9,john-wesley,Wesley Collected Works Vol 9,treatise,uncategorized,RED,No collection rule matched,,614,231043,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
jw-wesley-collected-works-vol-8,john-wesley,Wesley Collected Works Vol 8,treatise,uncategorized,RED,No collection rule matched,,607,229946,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
jw-wesley-collected-works-vol-10,john-wesley,Wesley Collected Works Vol 10,treatise,uncategorized,RED,No collection rule matched,,582,220379,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-hymns-1780,charles-wesley,A Collection of Hymns (1780),hymn-collection,uncategorized,RED,No collection rule matched,,453,167597,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
jw-thoughts-slavery,john-wesley,Thoughts Upon Slavery,treatise,uncategorized,RED,No collection rule matched,,28,8934,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
jw-means-of-grace,john-wesley,The Means of Grace,sermon,uncategorized,RED,No collection rule matched,,19,6022,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
jw-a-plain-account-of-kingswood-school,john-wesley,A Plain Account Of Kingswood School,treatise,uncategorized,RED,No collection rule matched,,17,5041,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-life-of-faith,charles-wesley,The Life of Faith,hymn,uncategorized,RED,No collection rule matched,,103,4504,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-universal-redemption,charles-wesley,Universal Redemption,hymn,uncategorized,RED,No collection rule matched,,38,1672,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-wrestling-jacob,charles-wesley,Wrestling Jacob,hymn,uncategorized,RED,No collection rule matched,,15,1138,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-love-divine,charles-wesley,"Love Divine, All Loves Excelling",hymn,uncategorized,RED,No collection rule matched,,5,354,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-christ-risen,charles-wesley,Christ the Lord Is Risen Today,hymn,uncategorized,RED,No collection rule matched,,7,342,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-arise-my-soul,charles-wesley,"Arise, My Soul, Arise",hymn,uncategorized,RED,No collection rule matched,,6,310,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-on-sight-of-corpse,charles-wesley,On the Sight of a Corpse,sermon,uncategorized,RED,No collection rule matched,,1,305,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-hark-the-herald,charles-wesley,Hark! The Herald Angels Sing,hymn,uncategorized,RED,No collection rule matched,,4,290,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-jesus-lover-of-my-soul,charles-wesley,"Jesus, Lover of My Soul",hymn,uncategorized,RED,No collection rule matched,,4,280,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-rejoice-the-lord-is-king,charles-wesley,"Rejoice, the Lord Is King",hymn,uncategorized,RED,No collection rule matched,,5,270,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-lo-he-comes,charles-wesley,Lo! He Comes with Clouds Descending,hymn,uncategorized,RED,No collection rule matched,,5,268,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-soldiers-of-christ-arise,charles-wesley,"Soldiers of Christ, Arise",hymn,uncategorized,RED,No collection rule matched,,4,260,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-o-for-a-thousand-tongues,charles-wesley,O for a Thousand Tongues to Sing,hymn,uncategorized,RED,No collection rule matched,,6,244,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-depth-of-mercy,charles-wesley,Depth of Mercy,hymn,uncategorized,RED,No collection rule matched,,6,240,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-forth-in-thy-name,charles-wesley,"Forth in Thy Name, O Lord, I Go",hymn,uncategorized,RED,No collection rule matched,,5,216,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-christ-whose-glory,charles-wesley,"Christ, Whose Glory Fills the Skies",hymn,uncategorized,RED,No collection rule matched,,4,198,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-come-thou-long-expected-jesus,charles-wesley,"Come, Thou Long-Expected Jesus",hymn,uncategorized,RED,No collection rule matched,,3,186,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-charge-to-keep,charles-wesley,A Charge to Keep I Have,hymn,uncategorized,RED,No collection rule matched,,5,184,False,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-a-hymn-for-christmas-day,charles-wesley,A Hymn For Christmas Day,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-and-are-we-yet-alive,charles-wesley,And Are We Yet Alive,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-and-can-it-be,charles-wesley,And Can It Be,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-captain-of-israels-host,charles-wesley,Captain Of Israels Host,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-come-let-us-use-the-grace-divine,charles-wesley,Come Let Us Use The Grace Divine,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-o-thou-who-camest-from-above,charles-wesley,O Thou Who Camest From Above,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-thou-hidden-source-of-calm-repose,charles-wesley,Thou Hidden Source Of Calm Repose,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
cw-where-shall-my-wondering-soul-begin,charles-wesley,Where Shall My Wondering Soul Begin,hymn,uncategorized,RED,No collection rule matched,,2,8,True,Did not match any known collection pattern — needs manual classification before trusting its provenance.
jw-journal-vol1-3,john-wesley,Journal Vol1 3,journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,1253,419195,True,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-journal-1773-to-1776,john-wesley,To 1776,journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,581,224989,True,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-journal-1760-to-1773,john-wesley,To 1773,journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,573,220459,True,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
jw-journal-vol4-7,john-wesley,Journal Vol4 7,journal,jw-journal,YELLOW,"Wesley's Journal (multiple raw files: journal-vol1-3, vol4-7, vol4-part09..13, 1760-to-1773, 1773-to-1776)",,546,212903,True,"No embedded Source: header on any journal raw file. Text authenticity is well-established (this is the corpus's most worked-on section — see CLAUDE.md OCR-gotchas section), but provenance is institutional memory, not a recorded URL. The vol4-part09..13 files are also absent from ingestion-log.csv entirely (see missing_from_ingestion_log column) — lowest-documented sub-slice of an otherwise well-understood work."
