jackson_num,local_file,q_count,gate_qmark,old_wc,new_wc,delta_pct,gate_wordcount,similarity,gate_opening,overall
1,sermon-001-salvation-by-faith.txt,23,PASS,4170,4150,-0.5,PASS,0.996,PASS,PASS
2,sermon-002-the-almost-christian.txt,33,PASS,3498,3459,-1.1,PASS,0.994,PASS,PASS
3,sermon-003-awake-thou-that-sleepest.txt,67,PASS,4986,4946,-0.8,PASS,0.995,PASS,PASS
4,sermon-004-scriptural-christianity.txt,117,PASS,6863,6916,0.8,PASS,0.990,PASS,PASS
5,sermon-005-justification-by-faith.txt,16,PASS,5088,5068,-0.4,PASS,0.996,PASS,PASS
6,sermon-006-the-righteousness-of-faith.txt,47,PASS,5023,5019,-0.1,PASS,0.998,PASS,PASS
7,sermon-007-the-way-to-the-kingdom.txt,22,PASS,4424,4420,-0.1,PASS,0.998,PASS,PASS
8,sermon-008-the-first-fruits-of-the-spirit.txt,18,PASS,4788,4782,-0.1,PASS,0.996,PASS,PASS
9,sermon-009-the-spirit-of-bondage-and-of-adoption.txt,29,PASS,5993,5992,-0.0,PASS,0.998,PASS,PASS
10,sermon-010-witness-of-the-spirit-i.txt,34,PASS,5178,5171,-0.1,PASS,0.999,PASS,PASS
11,sermon-011-witness-of-the-spirit-ii.txt,21,PASS,4770,4822,1.1,PASS,0.992,PASS,PASS
12,sermon-012-the-witness-of-our-own-spirit.txt,5,PASS,4296,4291,-0.1,PASS,0.999,PASS,PASS
13,sermon-013-on-sin-in-believers.txt,31,PASS,5199,5255,1.1,PASS,0.993,PASS,PASS
14,sermon-014-the-repentance-of-believers.txt,40,PASS,6127,6150,0.4,PASS,0.997,PASS,PASS
15,sermon-015-the-great-assize.txt,47,PASS,9219,9213,-0.1,PASS,0.998,PASS,PASS
16,sermon-016-the-means-of-grace.txt,46,PASS,6014,7293,21.3,FAIL,0.846,FAIL,FAIL
17,sermon-017-circumcision-of-the-heart.txt,4,PASS,4635,4616,-0.4,PASS,0.996,PASS,PASS
18,sermon-018-the-marks-of-the-new-birth.txt,33,PASS,4917,4966,1.0,PASS,0.993,PASS,PASS
19,sermon-019-the-great-privilege-of-those-born-of-god.txt,6,PASS,4353,4343,-0.2,PASS,0.998,PASS,PASS
20,sermon-020-the-lord-our-righteousness.txt,43,PASS,5181,5164,-0.3,PASS,0.997,PASS,PASS
21,sermon-021-upon-our-lords-sermon-on-the-mount-i.txt,35,PASS,6499,6491,-0.1,PASS,0.999,PASS,PASS
22,sermon-022-upon-our-lords-sermon-on-the-mount-ii.txt,20,PASS,6824,6846,0.3,PASS,0.996,PASS,PASS
23,sermon-023-upon-our-lords-sermon-on-the-mount-iii.txt,19,PASS,7135,7180,0.6,PASS,0.995,PASS,PASS
