jackson_num,slug,title,url
1,sermon-1-salvation-by-faith,Salvation by Faith,https://www.resourceumc.org/en/content/sermon-1-salvation-by-faith
2,sermon-2-the-almost-christian,"Almost Christian, The",https://www.resourceumc.org/en/content/sermon-2-the-almost-christian
3,sermon-3-awake-thou-that-sleepest,"Awake, Thou That Sleepest",https://www.resourceumc.org/en/content/sermon-3-awake-thou-that-sleepest
4,sermon-4-scriptural-christianity,Scriptural Christianity,https://www.resourceumc.org/en/content/sermon-4-scriptural-christianity
5,sermon-5-justification-by-faith,Justification by Faith,https://www.resourceumc.org/en/content/sermon-5-justification-by-faith
6,sermon-6-the-righteousness-of-faith,"Righteousness of Faith, The",https://www.resourceumc.org/en/content/sermon-6-the-righteousness-of-faith
7,sermon-7-the-way-to-the-kingdom,"Way of the Kingdom, Th",https://www.resourceumc.org/en/content/sermon-7-the-way-to-the-kingdom
8,sermon-8-the-first-fruits-of-the-spirit,"First Fruits of the Spirit, The",https://www.resourceumc.org/en/content/sermon-8-the-first-fruits-of-the-spirit
9,sermon-9-the-spirit-of-bondage-and-of-adoption,"Spirit of Bondage and of Adoption, The",https://www.resourceumc.org/en/content/sermon-9-the-spirit-of-bondage-and-of-adoption
10,sermon-10-the-witness-of-the-spirit,"Witness of the Spirit, 1, The",https://www.resourceumc.org/en/content/sermon-10-the-witness-of-the-spirit
11,sermon-11-the-witness-of-the-spirit-ii,"Witness of the Spirit, 2, The",https://www.resourceumc.org/en/content/sermon-11-the-witness-of-the-spirit-ii
12,sermon-12-the-witness-of-our-own-spirit,"Witness of Our Own Spirit, The",https://www.resourceumc.org/en/content/sermon-12-the-witness-of-our-own-spirit
13,sermon-13-on-sin-in-believers,On Sin in Believers,https://www.resourceumc.org/en/content/sermon-13-on-sin-in-believers
14,sermon-14-the-repentance-of-believers,"Repentance of Believers, The",https://www.resourceumc.org/en/content/sermon-14-the-repentance-of-believers
