passage_id,reference,book,chapter,verse_start,verse_end,source_title,author
jw-character-012,John 14:21,John,14,21,21,The Character of a Methodist,john-wesley
jw-plain-account-012,Zechariah 12:8,Zechariah,12,8,8,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-027,Deuteronomy 6:5,Deuteronomy,6,5,5,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-027,Ezekiel 36:29,Ezekiel,36,29,29,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-028,Ezekiel 36:25-29,Ezekiel,36,25,29,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-028,Deuteronomy 30:6,Deuteronomy,30,6,6,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-029,1 John 3:8,1 John,3,8,8,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-029,Ephesians 5:25-27,Ephesians,5,25,27,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-029,Romans 8:3-4,Romans,8,3,4,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-029,John 17:20-23,John,17,20,23,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-029,Ephesians 3:14,Ephesians,3,14,14,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-029,1 Thessalonians 5:23,1 Thessalonians,5,23,23,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-030,Matthew 5:48,Matthew,5,48,48,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-030,Matthew 12:37,Matthew,12,37,37,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-030,Titus 2:11-14,Titus,2,11,14,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-030,Luke 1:69,Luke,1,69,69,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-030,1 John 4:17,1 John,4,17,17,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-035,Romans 13:10,Romans,13,10,10,A Plain Account of Christian Perfection,john-wesley
jw-plain-account-041,John 14:12,John,14,12,12,A Plain Account of Christian Perfection,john-wesley
