bicentennial,jackson_running,sugden,source_id,in_corpus,title,scripture,date,bicentennial_ref,jackson_ref,sugden_ref,notes
1,1,1,jw-sermon-001,True,Salvation by Faith,Eph. 2:8,"June 11, 1738",1:109-130,V:7-16,I:35-52,
2,2,2,jw-sermon-002,True,The Almost Christian,Acts 26:28,"July 25, 1741",1:131-141,V:17-25,I:53-67,
3,3,3,jw-sermon-003,True,'Awake Thou That Sleepest',Eph. 5:14,"Apr. 4, 1742",1:142-158,V:25-36,I:68-86,
4,4,4,jw-sermon-004,True,Scriptural Christianity,Acts 4:31,"Aug. 24, 1744",1:159-180,V:37-52,I:87-111,
5,5,5,jw-sermon-005,True,Justification by Faith,Rom. 4:5,1746,1:181-199,V:53-64,I:112-130,
6,6,6,jw-sermon-006,True,The Righteousness of Faith,Rom. 10:5-8,1746,1:200-216,V:65-76,I:131-146,
7,7,7,jw-sermon-007,True,The Way to the Kingdom,Mark 1:15,1746,1:217-232,V:76-86,I:147-161,
8,8,8,jw-sermon-008,True,The First-fruits of the Spirit,Rom. 8:1,1746,1:233-247,V:87-97,I:162-177,
9,9,9,jw-sermon-009,True,The Spirit of Bondage and of Adoption,Rom. 8:15,1746,1:248-266,V:98-111,I:178-198,
10,10,10,jw-sermon-010,True,"The Witness of the Spirit, Discourse I",Rom. 8:16,1746,1:267-284,V:111-123,I:199-218,
11,11,11,jw-sermon-011,True,"The Witness of the Spirit, Discourse II",Rom. 8:16,"Apr. 4, 1767",1:285-298,V:123-134,II:341-359,
12,12,12,jw-sermon-012,True,The Witness of Our Own Spirit,2 Cor. 1:12,1746,1:299-313,V:134-144,I:219-236,
13,13,13,jw-sermon-013,True,On Sin in Believers,2 Cor. 5:17,"Mar. 28, 1763",1:314-334,V:144-156,II:360-378,
14,14,14,jw-sermon-014,True,The Repentance of Believers,Mark 1:15,"Apr. 24, 1767",1:335-352,V:156-170,II:379-397,
15,15,15,jw-sermon-015,True,The Great Assize,Rom. 14:10,"Mar. 10, 1758",1:354-375,V:171-185,II:398-419,
16,16,16,jw-means-of-grace,True,The Means of Grace,Mal. 3:7,1746,1:376-397,V:185-201,I:237-262,"corpus stores as jw-means-of-grace, not jw-sermon-016"
17,17,17,jw-sermon-017,True,The Circumcision of the Heart,Rom. 2:29,"Jan. 1, 1733",1:398-414,V:202-212,I:263-279,
18,18,18,jw-sermon-018,True,The Marks of the New Birth,John 3:8,1748,1:415-430,V:212-223,I:280-297,
19,19,19,jw-sermon-019,True,The Great Privilege of those that are Born of God,1 John 3:9,1748,1:431-443,V:223-233,I:298-312,
20,20,20,jw-sermon-020,True,The Lord Our Righteousness,Jer. 23:6,"Nov. 24, 1765",1:444-465,V:234-246,II:420-441,
21,21,21,jw-sermon-021,True,"Upon our Lord's Sermon on the Mount, I",Matt. 5:1-4,1748,1:466-487,V:247-261,I:315-334,
22,22,22,jw-sermon-022,True,"Upon our Lord's Sermon on the Mount, II",Matt. 5:5-7,1748,1:488-509,V:262-277,I:335-355,
23,23,23,jw-sermon-023,True,"Upon our Lord's Sermon on the Mount, III",Matt. 5:8-12,1748,1:510-530,V:278-294,I:356-377,
24,24,24,jw-sermon-024,True,"Upon our Lord's Sermon on the Mount, IV",Matt. 5:13-16,1748,1:531-549,V:294-310,I:378-397,
25,25,25,jw-sermon-025,True,"Upon our Lord's Sermon on the Mount, V",Matt. 5:17-20,1748,1:550-571,V:310-327,I:398-422,
26,26,26,jw-sermon-026,True,"Upon our Lord's Sermon on the Mount, VI",Matt. 6:1-15,1748,1:572-591,V:327-343,I:423-447,
27,27,27,jw-sermon-027,True,"Upon our Lord's Sermon on the Mount, VII",Matt. 6:16-18,1748,1:592-611,V:344-360,I:448-470,
28,28,28,jw-sermon-028,True,"Upon our Lord's Sermon on the Mount, VIII",Matt. 6:19-23,1748,1:612-631,V:361-377,I:471-494,
29,29,29,jw-sermon-029,True,"Upon our Lord's Sermon on the Mount, IX",Matt. 6:24-34,1748,1:632-649,V:378-393,I:495-516,
30,30,30,jw-sermon-030,True,"Upon our Lord's Sermon on the Mount, X",Matt. 7:1-12,1750,1:650-663,V:393-404,I:517-531,
31,31,31,jw-sermon-031,True,"Upon our Lord's Sermon on the Mount, XI",Matt. 7:13-14,1750,1:664-674,V:405-413,I:532-542,
32,32,32,jw-sermon-032,True,"Upon our Lord's Sermon on the Mount, XII",Matt. 7:15-20,1750,1:675-686,V:413-422,II:9-22,
33,33,33,jw-sermon-033,True,"Upon our Lord's Sermon on the Mount, XIII",Matt. 7:21-27,1750,1:687-698,V:423-433,II:23-36,
34,34,34,jw-sermon-034,True,"The Original, Nature, Properties, and Use of the Law",Rom. 7:12,1750,2:1-19,V:433-446,II:37-57,
35,35,35,jw-sermon-035,True,"The Law Established through Faith, Discourse I",Rom. 3:31,1750,2:20-32,V:447-457,II:58-71,
36,36,36,jw-sermon-036,True,"The Law Established through Faith, Discourse II",Rom. 3:31,1750,2:33-43,V:458-466,II:72-83,
37,37,37,jw-sermon-037,True,The Nature of Enthusiasm,Acts 26:24,1750,2:44-60,V:467-478,II:84-103,
38,38,38,jw-sermon-038,True,A Caution against Bigotry,Mark 9:38-39,1750,2:61-78,V:479-492,II:104-125,
39,39,39,jw-catholic-spirit,True,Catholic Spirit,2 Kgs. 10:15,1750,2:79-96,V:492-504,II:126-146,"corpus stores as jw-catholic-spirit, not jw-sermon-039"
40,40,40,jw-sermon-040,True,Christian Perfection,Phil. 3:12,1741,2:98-124,VI:1-22,II:147-177,
41,41,41,jw-sermon-041,True,Wandering Thoughts,2 Cor. 10:5,1762,2:125-137,VI:23-32,II:178-190,
42,42,42,jw-sermon-042,True,Satan's Devices,2 Cor. 2:11,1750,2:138-151,VI:32-43,II:191-204,
43,43,43,jw-sermon-043,True,The Scripture Way of Salvation,Eph. 2:8,1765,2:153-169,VI:43-54,II:442-460,
44,44,44,jw-sermon-044,True,Original Sin,Gen. 6:5,1760,2:170-185,VI:54-65,II:207-225,
45,45,45,jw-sermon-045,True,The New Birth,John 3:7,1760,2:186-201,VI:65-77,II:226-243,
46,46,46,jw-sermon-046,True,The Wilderness State,John 16:22,1760,2:202-221,VI:77-91,II:244-263,
47,47,47,jw-sermon-047,True,Heaviness through Manifold Temptations,1 Pet. 1:6,1760,2:222-235,VI:91-103,II:264-279,
48,48,48,jw-sermon-048,True,Self-denial,Luke 9:23,1760,2:236-250,VI:103-114,II:280-295,
49,49,49,jw-sermon-049,True,The Cure of Evil-speaking,Matt. 18:15-17,1760,2:251-262,VI:114-124,II:296-308,
50,50,50,jw-sermon-050,True,The Use of Money,Luke 16:9,1760,2:263-280,VI:124-136,II:309-327,
51,51,51,jw-sermon-051,True,The Good Steward,Luke 16:2,"May 14, 1768",2:281-298,VI:136-149,II:461-480,
52,52,52,jw-sermon-052,True,The Reformation of Manners,Ps. 94:16,"Jan. 30, 1763",2:300-323,VI:149-167,II:481-505,
53,53,53,jw-sermon-053,True,On the Death of George Whitefield,Num. 23:10,"Nov. 18, 1770",2:325-347,VI:167-182,II:506-527,
54,54,,jw-sermon-054,True,On Eternity,Ps. 90:2,"June 28, 1786",2:358-372,VI:189-198,,
55,55,,jw-sermon-055,True,On the Trinity,1 John 5:7,"May 7, 1775",2:373-386,VI:199-206,,
56,56,,jw-sermon-056,True,God's Approbation of His Works,Gen. 1:31,July-Aug. 1782,2:387-399,VI:206-215,,
57,57,,jw-sermon-057,True,On the Fall of Man,Gen. 3:19,"Mar. 13, 1782",2:400-412,VI:215-224,,
58,58,,jw-sermon-058,True,On Predestination,Rom. 8:29-30,"June 5, 1773",2:413-421,VI:225-230,,
59,59,,jw-sermon-059,True,God's Love to Fallen Man,Rom. 5:15,"July 9, 1782",2:422-435,VI:231-240,,
60,60,,jw-sermon-060,True,The General Deliverance,Rom. 8:19-22,"Nov. 30, 1781",2:436-450,VI:241-252,,
61,61,,jw-sermon-061,True,The Mystery of Iniquity,2 Thess. 2:7,May-June 1783,2:451-470,VI:253-267,,
62,62,,jw-sermon-062,True,The End of Christ's Coming,1 John 3:8,"Jan. 20, 1781",2:471-484,VI:267-277,,
63,63,,jw-sermon-063,True,The General Spread of the Gospel,Isa. 11:9,"Apr. 22, 1783",2:485-499,VI:277-288,,
