jackson_num,local_file,source_id,slug,title,url,status
1,sermon-001-salvation-by-faith.txt,jw-sermon-001,sermon-1-salvation-by-faith,Salvation by Faith,https://www.resourceumc.org/en/content/sermon-1-salvation-by-faith,matched
2,sermon-002-the-almost-christian.txt,jw-sermon-002,sermon-2-the-almost-christian,"Almost Christian, The",https://www.resourceumc.org/en/content/sermon-2-the-almost-christian,matched
3,sermon-003-awake-thou-that-sleepest.txt,jw-sermon-003,sermon-3-awake-thou-that-sleepest,"Awake, Thou That Sleepest",https://www.resourceumc.org/en/content/sermon-3-awake-thou-that-sleepest,matched
4,sermon-004-scriptural-christianity.txt,jw-sermon-004,sermon-4-scriptural-christianity,Scriptural Christianity,https://www.resourceumc.org/en/content/sermon-4-scriptural-christianity,matched
5,sermon-005-justification-by-faith.txt,jw-sermon-005,sermon-5-justification-by-faith,Justification by Faith,https://www.resourceumc.org/en/content/sermon-5-justification-by-faith,matched
6,sermon-006-the-righteousness-of-faith.txt,jw-sermon-006,sermon-6-the-righteousness-of-faith,"Righteousness of Faith, The",https://www.resourceumc.org/en/content/sermon-6-the-righteousness-of-faith,matched
7,sermon-007-the-way-to-the-kingdom.txt,jw-sermon-007,sermon-7-the-way-to-the-kingdom,"Way of the Kingdom, Th",https://www.resourceumc.org/en/content/sermon-7-the-way-to-the-kingdom,matched
8,sermon-008-the-first-fruits-of-the-spirit.txt,jw-sermon-008,sermon-8-the-first-fruits-of-the-spirit,"First Fruits of the Spirit, The",https://www.resourceumc.org/en/content/sermon-8-the-first-fruits-of-the-spirit,matched
9,sermon-009-the-spirit-of-bondage-and-of-adoption.txt,jw-sermon-009,sermon-9-the-spirit-of-bondage-and-of-adoption,"Spirit of Bondage and of Adoption, The",https://www.resourceumc.org/en/content/sermon-9-the-spirit-of-bondage-and-of-adoption,matched
10,sermon-010-witness-of-the-spirit-i.txt,jw-sermon-010,sermon-10-the-witness-of-the-spirit,"Witness of the Spirit, 1, The",https://www.resourceumc.org/en/content/sermon-10-the-witness-of-the-spirit,matched
11,sermon-011-witness-of-the-spirit-ii.txt,jw-sermon-011,sermon-11-the-witness-of-the-spirit-ii,"Witness of the Spirit, 2, The",https://www.resourceumc.org/en/content/sermon-11-the-witness-of-the-spirit-ii,matched
12,sermon-012-the-witness-of-our-own-spirit.txt,jw-sermon-012,sermon-12-the-witness-of-our-own-spirit,"Witness of Our Own Spirit, The",https://www.resourceumc.org/en/content/sermon-12-the-witness-of-our-own-spirit,matched
13,sermon-013-on-sin-in-believers.txt,jw-sermon-013,sermon-13-on-sin-in-believers,On Sin in Believers,https://www.resourceumc.org/en/content/sermon-13-on-sin-in-believers,matched
14,sermon-014-the-repentance-of-believers.txt,jw-sermon-014,sermon-14-the-repentance-of-believers,"Repentance of Believers, The",https://www.resourceumc.org/en/content/sermon-14-the-repentance-of-believers,matched
15,sermon-015-the-great-assize.txt,jw-sermon-015,sermon-15-the-great-assize,"Great Assize, The [Last Judgment]",https://www.resourceumc.org/en/content/sermon-15-the-great-assize,matched
16,sermon-016-the-means-of-grace.txt,jw-sermon-016,sermon-16-the-means-of-grace,"Means of Grace, The",https://www.resourceumc.org/en/content/sermon-16-the-means-of-grace,matched
17,sermon-017-circumcision-of-the-heart.txt,jw-sermon-017,sermon-17-the-circumcision-of-the-heart,"Circumcision of the Heart, The",https://www.resourceumc.org/en/content/sermon-17-the-circumcision-of-the-heart,matched
18,sermon-018-the-marks-of-the-new-birth.txt,jw-sermon-018,sermon-18-the-marks-of-the-new-birth,"Marks of the New Birth, The",https://www.resourceumc.org/en/content/sermon-18-the-marks-of-the-new-birth,matched
19,sermon-019-the-great-privilege-of-those-born-of-god.txt,jw-sermon-019,sermon-19-the-great-privilege-of-those-that-are-born-of-god,"Great Privilege of Those that Are Born of God, The",https://www.resourceumc.org/en/content/sermon-19-the-great-privilege-of-those-that-are-born-of-god,matched
20,sermon-020-the-lord-our-righteousness.txt,jw-sermon-020,sermon-20-the-lord-our-righteousness,"Lord Our Righteousness, The",https://www.resourceumc.org/en/content/sermon-20-the-lord-our-righteousness,matched
21,sermon-021-upon-our-lords-sermon-on-the-mount-i.txt,jw-sermon-021,sermon-21-upon-our-lords-sermon-on-the-mount-1,"Sermon on the Mount, 1, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-21-upon-our-lords-sermon-on-the-mount-1,matched
22,sermon-022-upon-our-lords-sermon-on-the-mount-ii.txt,jw-sermon-022,sermon-22-upon-our-lords-sermon-on-the-mount-2,"Sermon on the Mount, 2, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-22-upon-our-lords-sermon-on-the-mount-2,matched
23,sermon-023-upon-our-lords-sermon-on-the-mount-iii.txt,jw-sermon-023,sermon-23-upon-our-lords-sermon-on-the-mount-3,"Sermon on the Mount, 3, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-23-upon-our-lords-sermon-on-the-mount-3,matched
24,sermon-024-upon-our-lords-sermon-on-the-mount-iv.txt,jw-sermon-024,sermon-24-upon-our-lords-sermon-on-the-mount-4,"Sermon on the Mount, 4, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-24-upon-our-lords-sermon-on-the-mount-4,matched
25,sermon-025-upon-our-lords-sermon-on-the-mount-v.txt,jw-sermon-025,sermon-25-upon-our-lords-sermon-on-the-mount-5,"Sermon on the Mount, 5, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-25-upon-our-lords-sermon-on-the-mount-5,matched
26,sermon-026-upon-our-lords-sermon-on-the-mount-vi.txt,jw-sermon-026,sermon-26-upon-our-lords-sermon-on-the-mount-6,"Sermon on the Mount, 6, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-26-upon-our-lords-sermon-on-the-mount-6,matched
27,sermon-027-upon-our-lords-sermon-on-the-mount-vii.txt,jw-sermon-027,sermon-27-upon-our-lords-sermon-on-the-mount-7,"Sermon on the Mount, 7, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-27-upon-our-lords-sermon-on-the-mount-7,matched
28,sermon-028-upon-our-lords-sermon-on-the-mount-viii.txt,jw-sermon-028,sermon-28-upon-our-lords-sermon-on-the-mount-8,"Sermon on the Mount, 8, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-28-upon-our-lords-sermon-on-the-mount-8,matched
29,sermon-029-upon-our-lords-sermon-on-the-mount-ix.txt,jw-sermon-029,sermon-29-upon-our-lords-sermon-on-the-mount-9,"Sermon on the Mount, 9, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-29-upon-our-lords-sermon-on-the-mount-9,matched
30,sermon-030-upon-our-lords-sermon-on-the-mount-x.txt,jw-sermon-030,sermon-30-upon-our-lords-sermon-on-the-mount-10,"Sermon on the Mount, 10, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-30-upon-our-lords-sermon-on-the-mount-10,matched
31,sermon-031-upon-our-lords-sermon-on-the-mount-xi.txt,jw-sermon-031,sermon-31-upon-our-lords-sermon-on-the-mount-11,"Sermon on the Mount, 11, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-31-upon-our-lords-sermon-on-the-mount-11,matched
32,sermon-032-upon-our-lords-sermon-on-the-mount-xii.txt,jw-sermon-032,sermon-32-upon-our-lords-sermon-on-the-mount-12,"Sermon on the Mount, 12, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-32-upon-our-lords-sermon-on-the-mount-12,matched
33,sermon-033-upon-our-lords-sermon-on-the-mount-xiii.txt,jw-sermon-033,sermon-33-upon-our-lords-sermon-on-the-mount-13,"Sermon on the Mount, 13, Upon Our Lord's",https://www.resourceumc.org/en/content/sermon-33-upon-our-lords-sermon-on-the-mount-13,matched
34,sermon-034-the-original-nature-property-and-use-of-the-law.txt,jw-sermon-034,sermon-34-the-original-nature-property-and-use-of-the-law,"Original, Nature, Property, and Use of the Law, The",https://www.resourceumc.org/en/content/sermon-34-the-original-nature-property-and-use-of-the-law,matched
35,sermon-035-the-law-established-through-faith-i.txt,jw-sermon-035,sermon-35-the-law-established-through-faith-1,"Law Established Through Faith, 1, The",https://www.resourceumc.org/en/content/sermon-35-the-law-established-through-faith-1,matched
36,sermon-036-the-law-established-through-faith-ii.txt,jw-sermon-036,sermon-36-the-law-established-through-faith-2,"Law Established Through Faith, 2, The",https://www.resourceumc.org/en/content/sermon-36-the-law-established-through-faith-2,matched
37,sermon-037-the-nature-of-enthusiasm.txt,jw-sermon-037,sermon-37-the-nature-of-enthusiasm,"Nature of Enthusiasm, The",https://www.resourceumc.org/en/content/sermon-37-the-nature-of-enthusiasm,matched
38,sermon-038-a-caution-against-bigotry.txt,jw-sermon-038,sermon-38-a-caution-against-bigotry,"Caution Against Bigotry, A",https://www.resourceumc.org/en/content/sermon-38-a-caution-against-bigotry,matched
39,sermon-039-catholic-spirit.txt,jw-sermon-039,sermon-39-catholic-spirit,Catholic Spirit,https://www.resourceumc.org/en/content/sermon-39-catholic-spirit,matched
40,sermon-040-christian-perfection.txt,jw-sermon-040,sermon-40-christian-perfection,Christian Perfection,https://www.resourceumc.org/en/content/sermon-40-christian-perfection,matched
41,sermon-041-wandering-thoughts.txt,jw-sermon-041,sermon-41-wandering-thoughts,Wandering Thoughts,https://www.resourceumc.org/en/content/sermon-41-wandering-thoughts,matched
42,sermon-042-satans-devices.txt,jw-sermon-042,sermon-42-satans-devices,Satan's Devices,https://www.resourceumc.org/en/content/sermon-42-satans-devices,matched
43,sermon-043-scripture-way-of-salvation.txt,jw-sermon-043,sermon-43-the-scripture-way-of-salvation,"Scripture Way of Salvation, The",https://www.resourceumc.org/en/content/sermon-43-the-scripture-way-of-salvation,matched
44,sermon-044-original-sin.txt,jw-sermon-044,sermon-44-original-sin,Original Sin,https://www.resourceumc.org/en/content/sermon-44-original-sin,matched
45,sermon-045-the-new-birth.txt,jw-sermon-045,sermon-45-the-new-birth,"New Birth, The",https://www.resourceumc.org/en/content/sermon-45-the-new-birth,matched
46,sermon-046-the-wilderness-state.txt,jw-sermon-046,sermon-46-the-wilderness-state,"Wilderness State, The",https://www.resourceumc.org/en/content/sermon-46-the-wilderness-state,matched
47,sermon-047-heaviness-through-manifold-temptations.txt,jw-sermon-047,sermon-47-heaviness-through-manifold-temptations,Heaviness Through Manifold Temptations,https://www.resourceumc.org/en/content/sermon-47-heaviness-through-manifold-temptations,matched
48,sermon-048-self-denial.txt,jw-sermon-048,sermon-48-self-denial,Self-Denial,https://www.resourceumc.org/en/content/sermon-48-self-denial,matched
49,sermon-049-the-cure-of-evil-speaking.txt,jw-sermon-049,sermon-49-the-cure-of-evil-speaking,"Cure of Evil Speaking, The",https://www.resourceumc.org/en/content/sermon-49-the-cure-of-evil-speaking,matched
50,sermon-050-use-of-money.txt,jw-sermon-050,sermon-50-the-use-of-money,"Use of Money, The",https://www.resourceumc.org/en/content/sermon-50-the-use-of-money,matched
