bicentennial,title,scripture,date,bicentennial_ref,jackson_ref,sugden_ref,jackson_running,jackson_running_author,notes
1,Salvation by Faith,Eph. 2:8,"June 11, 1738",1:109-130,V:7-16,I:35-52,1,,
2,The Almost Christian,Acts 26:28,"July 25, 1741",1:131-141,V:17-25,I:53-67,2,,
3,'Awake Thou That Sleepest',Eph. 5:14,"Apr. 4, 1742",1:142-158,V:25-36,I:68-86,3,,
4,Scriptural Christianity,Acts 4:31,"Aug. 24, 1744",1:159-180,V:37-52,I:87-111,4,,
5,Justification by Faith,Rom. 4:5,1746,1:181-199,V:53-64,I:112-130,5,,
6,The Righteousness of Faith,Rom. 10:5-8,1746,1:200-216,V:65-76,I:131-146,6,,
7,The Way to the Kingdom,Mark 1:15,1746,1:217-232,V:76-86,I:147-161,7,,
8,The First-fruits of the Spirit,Rom. 8:1,1746,1:233-247,V:87-97,I:162-177,8,,
9,The Spirit of Bondage and of Adoption,Rom. 8:15,1746,1:248-266,V:98-111,I:178-198,9,,
10,"The Witness of the Spirit, Discourse I",Rom. 8:16,1746,1:267-284,V:111-123,I:199-218,10,,
11,"The Witness of the Spirit, Discourse II",Rom. 8:16,"Apr. 4, 1767",1:285-298,V:123-134,II:341-359,11,,
12,The Witness of Our Own Spirit,2 Cor. 1:12,1746,1:299-313,V:134-144,I:219-236,12,,
13,On Sin in Believers,2 Cor. 5:17,"Mar. 28, 1763",1:314-334,V:144-156,II:360-378,13,,
14,The Repentance of Believers,Mark 1:15,"Apr. 24, 1767",1:335-352,V:156-170,II:379-397,14,,
15,The Great Assize,Rom. 14:10,"Mar. 10, 1758",1:354-375,V:171-185,II:398-419,15,,
16,The Means of Grace,Mal. 3:7,1746,1:376-397,V:185-201,I:237-262,16,,"corpus stores as jw-means-of-grace, not jw-sermon-016"
17,The Circumcision of the Heart,Rom. 2:29,"Jan. 1, 1733",1:398-414,V:202-212,I:263-279,17,,
18,The Marks of the New Birth,John 3:8,1748,1:415-430,V:212-223,I:280-297,18,,
19,The Great Privilege of those that are Born of God,1 John 3:9,1748,1:431-443,V:223-233,I:298-312,19,,
20,The Lord Our Righteousness,Jer. 23:6,"Nov. 24, 1765",1:444-465,V:234-246,II:420-441,20,,
21,"Upon our Lord's Sermon on the Mount, I",Matt. 5:1-4,1748,1:466-487,V:247-261,I:315-334,21,,
22,"Upon our Lord's Sermon on the Mount, II",Matt. 5:5-7,1748,1:488-509,V:262-277,I:335-355,22,,
23,"Upon our Lord's Sermon on the Mount, III",Matt. 5:8-12,1748,1:510-530,V:278-294,I:356-377,23,,
24,"Upon our Lord's Sermon on the Mount, IV",Matt. 5:13-16,1748,1:531-549,V:294-310,I:378-397,24,,
25,"Upon our Lord's Sermon on the Mount, V",Matt. 5:17-20,1748,1:550-571,V:310-327,I:398-422,25,,
26,"Upon our Lord's Sermon on the Mount, VI",Matt. 6:1-15,1748,1:572-591,V:327-343,I:423-447,26,,
27,"Upon our Lord's Sermon on the Mount, VII",Matt. 6:16-18,1748,1:592-611,V:344-360,I:448-470,27,,
