jackson_num,local_file,actual_source_id
1,sermon-001-salvation-by-faith.txt,jw-sermon-001
2,sermon-002-the-almost-christian.txt,jw-sermon-002
3,sermon-003-awake-thou-that-sleepest.txt,jw-sermon-003
4,sermon-004-scriptural-christianity.txt,jw-sermon-004
5,sermon-005-justification-by-faith.txt,jw-sermon-005
6,sermon-006-the-righteousness-of-faith.txt,jw-sermon-006
7,sermon-007-the-way-to-the-kingdom.txt,jw-sermon-007
8,sermon-008-the-first-fruits-of-the-spirit.txt,jw-sermon-008
9,sermon-009-the-spirit-of-bondage-and-of-adoption.txt,jw-sermon-009
10,sermon-010-witness-of-the-spirit-i.txt,jw-sermon-010
11,sermon-011-witness-of-the-spirit-ii.txt,jw-sermon-011
12,sermon-012-the-witness-of-our-own-spirit.txt,jw-sermon-012
13,sermon-013-on-sin-in-believers.txt,jw-sermon-013
14,sermon-014-the-repentance-of-believers.txt,jw-sermon-014
15,sermon-015-the-great-assize.txt,jw-sermon-015
17,sermon-017-circumcision-of-the-heart.txt,jw-sermon-017
18,sermon-018-the-marks-of-the-new-birth.txt,jw-sermon-018
19,sermon-019-the-great-privilege-of-those-born-of-god.txt,jw-sermon-019
20,sermon-020-the-lord-our-righteousness.txt,jw-sermon-020
21,sermon-021-upon-our-lords-sermon-on-the-mount-i.txt,jw-sermon-021
22,sermon-022-upon-our-lords-sermon-on-the-mount-ii.txt,jw-sermon-022
23,sermon-023-upon-our-lords-sermon-on-the-mount-iii.txt,jw-sermon-023
24,sermon-024-upon-our-lords-sermon-on-the-mount-iv.txt,jw-sermon-024
25,sermon-025-upon-our-lords-sermon-on-the-mount-v.txt,jw-sermon-025
26,sermon-026-upon-our-lords-sermon-on-the-mount-vi.txt,jw-sermon-026
27,sermon-027-upon-our-lords-sermon-on-the-mount-vii.txt,jw-sermon-027
28,sermon-028-upon-our-lords-sermon-on-the-mount-viii.txt,jw-sermon-028
29,sermon-029-upon-our-lords-sermon-on-the-mount-ix.txt,jw-sermon-029
30,sermon-030-upon-our-lords-sermon-on-the-mount-x.txt,jw-sermon-030
31,sermon-031-upon-our-lords-sermon-on-the-mount-xi.txt,jw-sermon-031
32,sermon-032-upon-our-lords-sermon-on-the-mount-xii.txt,jw-sermon-032
33,sermon-033-upon-our-lords-sermon-on-the-mount-xiii.txt,jw-sermon-033
34,sermon-034-the-original-nature-property-and-use-of-the-law.txt,jw-sermon-034
35,sermon-035-the-law-established-through-faith-i.txt,jw-sermon-035
36,sermon-036-the-law-established-through-faith-ii.txt,jw-sermon-036
37,sermon-037-the-nature-of-enthusiasm.txt,jw-sermon-037
38,sermon-038-a-caution-against-bigotry.txt,jw-sermon-038
40,sermon-040-christian-perfection.txt,jw-sermon-040
41,sermon-041-wandering-thoughts.txt,jw-sermon-041
42,sermon-042-satans-devices.txt,jw-sermon-042
43,sermon-043-scripture-way-of-salvation.txt,jw-sermon-043
44,sermon-044-original-sin.txt,jw-sermon-044
45,sermon-045-the-new-birth.txt,jw-sermon-045
46,sermon-046-the-wilderness-state.txt,jw-sermon-046
47,sermon-047-heaviness-through-manifold-temptations.txt,jw-sermon-047
48,sermon-048-self-denial.txt,jw-sermon-048
49,sermon-049-the-cure-of-evil-speaking.txt,jw-sermon-049
50,sermon-050-use-of-money.txt,jw-sermon-050
51,sermon-051-the-good-steward.txt,jw-sermon-051
52,sermon-052-the-reformation-of-manners.txt,jw-sermon-052
54,sermon-054-on-eternity.txt,jw-sermon-054
55,sermon-055-on-the-trinity.txt,jw-sermon-055
56,sermon-056-gods-approbation-of-his-works.txt,jw-sermon-056
57,sermon-057-on-the-fall-of-man.txt,jw-sermon-057
58,sermon-058-on-predestination.txt,jw-sermon-058
59,sermon-059-gods-love-to-fallen-man.txt,jw-sermon-059
60,sermon-060-the-general-deliverance.txt,jw-sermon-060
