id,source_title,source_type,text_preview,suggested_themes,status
cw-hymns-1780-367,A Collection of Hymns (1780),hymn-collection,"Abraham, when severely tried 274 A charge to keep I have . 306 Adam descended from above 126 A fountain of life and of grace 80 After all that I have done . 180 Again our weekly labours end 542 Again ",,needs_review
cw-hymns-1780-375,A Collection of Hymns (1780),hymn-collection,"Lord and God of heavenly . 506  Lord, and is thine anger gone 183  Lord, dismiss us with thy . 520  Lord, I adore thy gracious . 317  Lord, I believe a rest remains 383 Lord, I believe thy every word ",,needs_review
cw-hymns-1780-376,A Collection of Hymns (1780),hymn-collection,"O Almighty God of"" love . 258 O come, and dwell in me . 352 () come, thou radiant Morning 417 O disclose thy lovely face . 153  O filial Deity 189  O for a closer walk with God 604 O for a heart to pr",,needs_review
cw-hymns-1780-393,A Collection of Hymns (1780),hymn-collection,"•21 6 188 4 26-29 407 19 2--5  713 2 556 5  299 3,7,8 20-22 29 2, 3 5 34  1--4 23,24 108 324 34  5-7 144 6--9 405 728 2--4 3--5 630 7  11 499 2, 3 724 4  12 630 7-10  17 690 4, 5  18 276 1 15 499 1 36",,needs_review
cw-hymns-1780-394,A Collection of Hymns (1780),hymn-collection,"15, 16 348 113  1 224 34 466  3,4 7 10 372  6--9 38  2--6 10  213 1--3 347 84  1-12 541 1--8 223  287 2 1--5 574  8 348 38 235 3  7-10 577 7 179 42  5,6  184 10,11 92  2, 3 8 246 47  5--9 635  4,5  5-",,needs_review
cw-hymns-1780-395,A Collection of Hymns (1780),hymn-collection,"3, 4 1 270 9  143 4 9 1  10-18 593  5 158  ■07  P». Ver. Hymn. Ver.  Chap  . Ver.  Hymn  Ver.  Chap  Ver.  Hymn. Ver.  Obap. Ver.  Hymn Ver  11, 12 474 2, 3 5-7 21  305 3 15 15 312 3, 4 145 5  145 1-2",,needs_review
cw-hymns-1780-396,A Collection of Hymns (1780),hymn-collection,"359 1  7»5  5 1,2 316 435  5,6  18-20  7 29 98 335 13  244 2, 3 673 7 1-3  731 1, 2 362 44  6-8 645  1 7 228 3 5, 6 8  86 6 1  299 1  2 3 507 4--6 182 11  2!) r 4, 5  10, 11 4 488 1--4 271 15 63  1--3",,needs_review
cw-hymns-1780-397,A Collection of Hymns (1780),hymn-collection,"9-11 24 179 2,31  26 614 12 236 31 154 4 552 35 346 194 336  3, 4  4, 5 7,8 3--5  18-20  106 3|  168 4, 5l 2  15 365 19-21 20 151 3--5' 4 340 2, 3 ' 6  6 82 3 490  1--5 13 26  498 3--6  380 6 , ! *  1",,needs_review
cw-hymns-1780-398,A Collection of Hymns (1780),hymn-collection,"348 5 697 3  611 1--3  15 11-20 395 366 4  612 1, 2 623 3 31  219 3 529 2--4  683 1  612 1, 2 1-14 40  135 3, 4  634 3, 4 9 1--5  2 3-12 33 277 3--5 37  32 4 3!)6 1, 2  612 2, 3 24 60 1,2  3 5  135 5 ",,needs_review
cw-hymns-1780-399,A Collection of Hymns (1780),hymn-collection,"529 2--4 62 1  19 5,6 463 19  408 7, 8 9  479 2 2,3 483 4  622 1  41,42  8 4  2 21 3,4 864 3, 4  33,34 32 4  3 7 8 330 5  325 4 455 3, 4 381  3,4  7 21,22 498 3--6 93 4 34 395  35-37  54 3--5  21 15  ",,needs_review
cw-hymns-1780-400,A Collection of Hymns (1780),hymn-collection,"301 4 109 6 501  299 5  303 2  186 2 692  12 7  7 2,3 101 4  194 2, 3  28,29 6 -- 7  245 1, 2  249 5, 6  604 3 8  1 1  ""hap. Ver.  HvTnn. Ver.  Chap. Ver.  Hymn. Ver.  Chap. Ver.  Hymn. Ver.  Chap. Ve",,needs_review
cw-hymns-1780-401,A Collection of Hymns (1780),hymn-collection,"14 8 4,5  517 '10 166 3  3,4  375 3  4 26  8 11  337 3 | 1 1 84 719 2 9 30  22 31 708  726 3 24 7,8 7,8  201 4 97 3 13 36 3,4  202 5 236 34  160 3 17  242 3 85 5  371 2 25  213 1--3  96 4--6 2  601 4 ",,needs_review
cw-hymns-1780-402,A Collection of Hymns (1780),hymn-collection,"109 7 3 72  2,3  621 2 657 13  27 1  4 3-6 20 3,4 68  2,3  215 4 350 95  5,6  614 6 86 3 1  5 1--6 14 352 2 74  21,22 553 2 1 518 9, 10 7 60 11 4 194 4,5  11, 12 8 82  4,5 2 6  390 2 489 2 4 5 15  193",,needs_review
cw-hymns-1780-403,A Collection of Hymns (1780),hymn-collection,"315 4 480 419  159 1 353 3 3 16 171 2  14,15  565 2, 3 254 2  1, 2 465  614 5, 8  21-24 3 125 i:  755 1 157 1--4 70 537 7  4 303 3 74  4,5  610 6  6 34 7  3 4  226 11 . 5 5  4 77  190 5--8  9-11 322  ",,needs_review
cw-hymns-1780-404,A Collection of Hymns (1780),hymn-collection,"241 2  16  340 2, 3  435 1--3  1 1 519 2  355 9, 12  380 6 364 3--5  2 418 3  357 5, 6  438 2  2 18  521 3  4 18 1, 2 237 1  456 6  3 2  363 1, 2  380 8  364 3_5  511 3  4 7  359 2, 3  390 4 158 1  19",,needs_review
cw-hymns-1780-405,A Collection of Hymns (1780),hymn-collection,"418 2--4  2r 277 3  3 2 18 3  506 2  189 3 329  53 3, 4 26 8  394 4 176 1, 2  72 3  689 2 241 4  5 5  109 7  281 4, 5  5,6  16 4  13 7  268 3 29 2  499 8  21 o, 4  INDEX TO THk TEXTS. Cti»j»  Ver.  Il",,needs_review
cw-hymns-1780-409,A Collection of Hymns (1780),hymn-collection,"Being of beings 462 Believe in him . 39 Believing against 425 Believing on my . 210 Believing, we . 566 Beloved for Jesu's 630 Beneath my load 29 Beneath thy shad- 474 Bent to redeem a 529 Better a da",,needs_review
cw-hymns-1780-410,A Collection of Hymns (1780),hymn-collection,"But, ah ! how wide 605 But all, before they 50 But ar'. thou not . 179 But both in Jesus 569 But Christ, the . 566 But for the glory 124 But, for thy truth 176 But God made flesh251 But hast thou . 42",,needs_review
cw-hymns-1780-412,A Collection of Hymns (1780),hymn-collection,"Come then, and to 126 Come, then, divine 246 Come then from . 156 Come then.myGod 358 Come then, my . 152 Come, then, O . 560 Come, then, our . 107 Come, then, thou 422 Come then to thy 214 Come, then",,needs_review
cw-hymns-1780-414,A Collection of Hymns (1780),hymn-collection,"Far from the paths 118 Far off, yet at thy 176 Father, accept them443 Father, behold thy 376 Father, behold we 88 Father, by right . 550 Father, God, thy 215 Father, God, to . 579 Father, if I may Fat",,needs_review
cw-hymns-1780-417,A Collection of Hymns (1780),hymn-collection,"Grace, the fountain 397 '• He ever lives for 125 Crace we implore 562 He form'd the deeps 535 Gracious God, my 236 He form'd the stars218 Grant me now the 337 He hath open'd a 212 Grant ray importu- 1",,needs_review
cw-hymns-1780-418,A Collection of Hymns (1780),hymn-collection,"He speaks, and, lis- 7 He still respects . 513 He that believes in 158 He that on the . 79 He then is bless'd 537 He this flowery car- 226 He visits now the 386 He who breathed 649 He will present . 6",,needs_review
cw-hymns-1780-424,A Collection of Hymns (1780),hymn-collection,"Keep the souls . 684 Kindle the flame 119 Kindled his relent- 165 King of glory . 577 Kuowledge, alas. 619  Lame as I am, I 139 Lame at the pool 132 Lay thy weighty . 179 Learning's redun- 443 Least o",,needs_review
cw-hymns-1780-425,A Collection of Hymns (1780),hymn-collection,Let me cast my . 291 Let me gain my . 336 Let me no more in 375 Let me thy witness 4 1 0 Let me to every . 413 Let mountains from617 Let others hug their 326 Let sickness blast 49 Let sin no more . 56,,needs_review
cw-hymns-1780-426,A Collection of Hymns (1780),hymn-collection,"Lo! to the hills 1 136 Look, as when thine 104 Look, as when thy 105 Look through us . 469 Look unto him, ye 8 Loose all your bars 516 Loose me from the 276 Loosed from my . 114 Lord, arm me with 406 ",,needs_review
cw-hymns-1780-429,A Collection of Hymns (1780),hymn-collection,Not can he thus . 29 Nor quite display'd 525 Nor shall thy . . 634 Nor yet so far . 549 Not all the arch- 655 Not all the pow'rs 270 Not angel-tongues 244 Not by human . 366 Not for my fault or 294 No,,needs_review
cw-hymns-1780-430,A Collection of Hymns (1780),hymn-collection,"O could we make 656 O cut short the . 383 () death, where is 320 () do not let me . 257 O do not suffer . 300 O do thou always 294 O Father, glorify 119 O Lr a faith like 275 O for a trumpet . 38 O fo",,needs_review
cw-hymns-1780-432,A Collection of Hymns (1780),hymn-collection,"O that our faith 508 O that our life . 622 0 that the chosen 423 O that the('onifor-360 O that the tire from 392 O that the perfect 372 O that the souls . 446 O that the world 40,86 Othat to thee my 3",,needs_review
cw-hymns-1780-436,A Collection of Hymns (1780),hymn-collection,"Save us by grace Save us from the Save us in the Save us in thy Saved from the fear 397 Saved from the le- 565 Saviour, accept . 651 Saviour, and Princel03 Saviour, for this I 350  Shout in the midst ",,needs_review
