source_id,slug,title,corpus,open
jw-genuine-christianity,jw/works/genuine-christianity,A Plain Account Of Genuine Christianity,jw-works,True
jw-character,jw/works/character,The Character of a Methodist,jw-works,True
jw-general-rules,jw/works/general-rules,The General Rules of the Methodist Societies,jw-works,True
jw-journal-vol4-part09-section01,jw/journal/vol/vol4-part09-section01,"Journal Vol 4, Part IX Section 1 (1751-1754)",jw-journal-placeholder,True
jw-journal-vol4-part09-section02,jw/journal/vol/vol4-part09-section02,"Journal Vol 4, Part IX Section 2 (1753-1754)",jw-journal-placeholder,True
jw-journal-vol4-part10-section01,jw/journal/vol/vol4-part10-section01,"Journal Vol 4, Part X Section 1 (1755-1758)",jw-journal-placeholder,True
jw-journal-vol4-part10-section02,jw/journal/vol/vol4-part10-section02,"Journal Vol 4, Part X Section 2 (1757-1758)",jw-journal-placeholder,True
jw-journal-vol4-part11-section01,jw/journal/vol/vol4-part11-section01,"Journal Vol 4, Part XI Section 1 (1758-1760)",jw-journal-placeholder,True
jw-journal-vol4-part11-section02,jw/journal/vol/vol4-part11-section02,"Journal Vol 4, Part XI Section 2 (1760)",jw-journal-placeholder,True
jw-journal-vol4-part12-section01,jw/journal/vol/vol4-part12-section01,"Journal Vol 4, Part XII Section 1 (1760-1762)",jw-journal-placeholder,True
jw-journal-vol4-part12-section02,jw/journal/vol/vol4-part12-section02,"Journal Vol 4, Part XII Section 2 (1761)",jw-journal-placeholder,True
jw-journal-vol4-part12-section03,jw/journal/vol/vol4-part12-section03,"Journal Vol 4, Part XII Section 3 (1762)",jw-journal-placeholder,True
jw-journal-vol4-part12-section04,jw/journal/vol/vol4-part12-section04,"Journal Vol 4, Part XII Section 4 (1762)",jw-journal-placeholder,True
jw-journal-vol4-part13,jw/journal/vol/vol4-part13,"Journal Vol 4, Part XIII (1762-1765)",jw-journal-placeholder,True
jw-letter-roman-catholic,jw/works/letter-roman-catholic,A Letter to a Roman Catholic,jw-works,True
jw-means-of-grace,jw/sermons/016,The Means of Grace,jw-sermons,True
jw-catholic-spirit,jw/sermons/039,Catholic Spirit,jw-sermons,True
jw-sermon-053,jw/sermons/053,On the Death of the Rev. Mr. George Whitefield,jw-sermons,True
jw-sermon-086,jw/sermons/086,A Call to Backsliders,jw-sermons,True
jw-free-grace,jw/sermons/110,Free Grace,jw-sermons,True
jw-thoughts-slavery,jw/works/thoughts-slavery,Thoughts Upon Slavery,jw-works,True
cw-charge-to-keep,cw/works/charge-to-keep,A Charge to Keep I Have,cw-works,True
cw-arise-my-soul,cw/works/arise-my-soul,"Arise, My Soul, Arise",cw-works,True
cw-christ-risen,cw/works/christ-risen,Christ the Lord Is Risen Today,cw-works,True
cw-christ-whose-glory,cw/works/christ-whose-glory,"Christ, Whose Glory Fills the Skies",cw-works,True
