text,image_url,tags,posting_time
"We are to love and hate, to rejoice and grieve, to desire and shun, to hope and fear, according to the rule which he prescribes whose we are, and whom we are to serve in all things.

— John Wesley",,,2026-02-09 09:00
"All praise, and glory, and honour, be unto him and to the Lamb for ever and ever.

— John Wesley",,,2026-02-10 09:00
"Some of the passages quoted refer to the invasion of Judah by the Assyrians, some to the coming of the Holy Ghost, some to the destruction of Jerusalem by the Romans, some to the downfall of Rome herself.

— John Wesley",,,2026-02-11 09:00
"All ye that in my word believe, Shall see my love in Jesu's face; The peace and joy of faith receive, And triumph in my saving grace.

— Charles Wesley",,,2026-02-12 09:00
"In this case, undoubtedly many thousands are saved who never heard of these doctrines; and I am inclined to think this was our own case, both at Oxford and for some time after.

— John Wesley",,,2026-02-13 09:00
"The same power could have congealed the waters for them to pass over, but infinite wisdom chose rather to divide the waters for them to pass through, for that way of salvation is always pitched upon which is most humbling.

— John Wesley",,,2026-02-14 09:00
"What dreadful precipices, which make us giddy to look down, are ready to betray us into destruction What immense extents are there in many countries of waste and barren ground !

— John Wesley",,,2026-02-15 09:00
"This tells me, that ""Christ hath redeemed us"" (all that believe) ""from the curse,"" or punishment, justly due to our past transgressions of God's law, But it speaks not a word of redeeming us from the law, any more than from love or heaven.

— John Wesley",,,2026-02-16 09:00
"The House at Witney would nothing near contain the people in the evening: It was well filled at five on Wednesday morning.

— John Wesley",,,2026-02-17 09:00
"In a week or two it was all at an end; and I have seen nothing since."" In the evening I preached near the preaching-house at Paddiham, and strongly insisted on communion with God, as the only religion that would avail us.

— John Wesley",,,2026-02-18 09:00
